agent,tf,test_type,enabled,native,profile,total,wr,balance,return_pct,max_dd,avg_win,avg_loss,avg_win_pct,avg_loss_pct,max_losers_row,trailed_wins,trailed_losses,long_pnl,short_pnl,nlongs,nshorts,avg_bars,elapsed
pump_dump_reversal,15m,standard,True,False,pump_dump_reversal,7,42.9,102.06,2.1,7.8,3.27,-1.94,6.873,-4.0,4,3,0,-0.01,2.07,6,1,1.0,8.4
pump_dump_reversal,30m,standard,True,False,pump_dump_reversal,1,100.0,103.47,3.5,0,3.47,0.0,6.94,0.0,0,1,0,3.47,0,1,0,1.0,0.5
pump_dump_reversal,1H,standard,True,False,pump_dump_reversal,20,75.0,114.2,14.2,5.9,1.65,-2.11,3.154,-4.0,3,15,0,11.88,2.32,17,3,1.1,7.6
bb_bounce,5m,standard,False,False,bb_bounce,2736,49.4,61.59,-38.4,45.7,0.27,-0.3,0.699,-0.766,15,783,1,-28.03,-10.38,1369,1367,32.0,25.3
bb_bounce,15m,standard,False,False,bb_bounce,2440,50.4,52.11,-47.9,53.1,0.28,-0.33,0.675,-0.802,17,754,3,-28.63,-19.26,1208,1232,10.0,24.4
bb_bounce,15m,confirmed,False,False,bb_bounce,4,25.0,99.09,-0.9,1.5,0.59,-0.5,1.183,-1.0,3,1,0,-0.5,-0.41,1,3,4.8,24.3
bb_bounce,30m,standard,False,False,bb_bounce,898,54.0,86.96,-13.0,28.7,0.29,-0.38,0.642,-0.84,17,302,0,-12.88,-0.16,491,407,4.9,7.6
bb_bounce,30m,confirmed,False,False,bb_bounce,58,70.7,106.24,6.2,1.3,0.28,-0.36,0.555,-0.704,3,24,0,0.03,6.22,1,57,6.2,7.5
bb_bounce,1H,standard,False,False,bb_bounce,2549,50.4,34.3,-65.7,70.6,0.17,-0.23,0.656,-0.843,27,847,5,-34.9,-30.79,1248,1301,2.6,22.3
bb_bounce,1H,confirmed,False,False,bb_bounce,7,57.1,98.87,-1.1,1.3,0.09,-0.5,0.186,-1.0,2,2,0,-0.76,-0.37,3,4,1.9,22.3
zscore_reversion,5m,standard,False,False,zscore_reversion,10255,49.6,20.18,-79.8,83.2,0.18,-0.19,0.671,-0.734,30,4324,1,-59.31,-20.51,5168,5087,14.9,10.1
zscore_reversion,15m,standard,False,False,zscore_reversion,10509,48.5,1.68,-98.3,98.7,0.09,-0.11,0.61,-0.74,35,4301,8,-48.01,-50.31,5222,5287,5.0,9.8
zscore_reversion,15m,confirmed,False,False,zscore_reversion,19,42.1,98.2,-1.8,3.3,0.32,-0.4,0.651,-0.8,8,6,0,0.97,-2.77,5,14,3.4,9.4
zscore_reversion,30m,standard,False,False,zscore_reversion,885,52.5,98.91,-1.1,20.1,0.28,-0.33,0.581,-0.666,15,319,1,-0.57,-0.52,433,452,3.7,0.6
zscore_reversion,30m,confirmed,False,False,zscore_reversion,56,66.1,104.07,4.1,1.9,0.28,-0.32,0.549,-0.645,4,27,0,-0.35,4.42,2,54,3.8,0.5
zscore_reversion,1H,standard,False,False,zscore_reversion,9315,54.3,894.25,794.3,57.6,0.97,-0.99,0.711,-0.755,51,4461,26,603.59,190.66,4395,4920,1.6,8.6
zscore_reversion,1H,confirmed,False,False,zscore_reversion,25,80.0,106.34,6.3,0.8,0.42,-0.42,0.817,-0.8,2,18,0,2.15,4.19,11,14,1.2,8.5
stoch_rsi,5m,standard,True,False,stoch_rsi,1413,49.6,70.93,-29.1,36.1,0.41,-0.45,1.028,-1.119,11,137,0,-11.33,-17.74,705,708,65.1,21.2
stoch_rsi,15m,standard,True,False,stoch_rsi,1404,49.4,112.54,12.5,36.4,0.51,-0.49,1.126,-1.073,14,150,0,10.94,1.61,704,700,21.9,20.3
stoch_rsi,30m,standard,True,False,stoch_rsi,474,52.7,100.27,0.3,20.2,0.49,-0.55,0.966,-1.086,11,54,0,6.37,-6.1,256,218,11.1,6.2
stoch_rsi,30m,confirmed,True,False,stoch_rsi,33,66.7,104.03,4.0,1.5,0.35,-0.33,0.691,-0.656,3,3,0,-1.27,5.3,2,31,11.3,6.1
stoch_rsi,1H,standard,True,False,stoch_rsi,1540,51.1,68.96,-31.0,49.9,0.38,-0.45,1.01,-1.166,20,151,1,-15.07,-15.97,773,767,5.5,18.5
stoch_rsi,1H,confirmed,True,False,stoch_rsi,3,66.7,100.09,0.1,1.0,0.56,-1.02,1.122,-2.044,1,1,0,0.06,0.03,1,2,6.0,18.2
golden_cross,5m,standard,True,False,golden_cross,1003,63.1,48.18,-51.8,64.8,1.09,-2.01,2.715,-4.945,7,631,1,-50.04,-1.78,499,504,419.3,16.0
golden_cross,15m,standard,True,False,golden_cross,1040,62.5,27.81,-72.2,76.0,0.8,-1.55,2.552,-4.882,8,650,7,7.3,-79.49,492,548,138.7,15.2
golden_cross,15m,confirmed,True,False,golden_cross,951,63.0,38.28,-61.7,67.5,0.91,-1.76,2.569,-4.883,7,599,6,16.44,-78.16,447,504,139.7,15.1
golden_cross,30m,standard,True,False,golden_cross,102,62.7,72.83,-27.2,30.3,0.88,-2.2,2.002,-4.949,4,64,0,-1.93,-25.24,49,53,128.1,1.0
golden_cross,30m,confirmed,True,False,golden_cross,80,63.7,83.41,-16.6,26.8,0.97,-2.28,2.148,-4.933,3,51,0,3.56,-20.14,34,46,124.2,1.0
golden_cross,1H,standard,True,False,golden_cross,1028,61.6,2.42,-97.6,97.9,0.36,-0.84,1.797,-4.705,13,633,20,-43.0,-54.58,519,509,36.3,13.5
golden_cross,1H,confirmed,True,False,golden_cross,935,61.4,3.7,-96.3,96.7,0.43,-0.96,1.83,-4.677,13,574,20,-44.05,-52.25,475,460,37.1,13.7
liquidity_sweep,5m,standard,True,True,liquidity_sweep,693,50.6,74.41,-25.6,31.1,0.42,-0.5,1.022,-1.214,8,235,0,-10.24,-15.36,380,313,27.4,22.0
